Text,Label
Türban takan bayanlarda bazılarında gorustustugum insanlarda genelde kadın erkek eşitsizligini kabul ediyor siddetide sindiriyor ama aldatilmayi hazmeedemiyir sadece,0
geyler diğer erkeklere beğenilmek için hayyvan gibi vücut yaparken heterolar biz kızları hiç sallamıyo gibi niye,0
#MerveAslan Çocuklarımıza tecavüz eden Hacı Hocaya söz yok ama Namus Bahanesiyle hergün Kadınlar Öldürülüyor. Bu düzen böyle gitmez.,0
"Maltepe'de bir kafede Z.Y.(23) adlı kadını taciz eden CHP Maltepe İlçe Yönetim Kurulu Üyesi U.K. tutuklandı...
Sapık sapıktir ve sapığa kimlik sorulmaz.Lakin başka çevrelerin
sapıkları karşısında duyar kasıp
yeri göğü inleten feminist vs +++",1
"Kadın cinayetleri Ülkemizin kanayan yarası..! 
#ÖzgecanAslan;
5 yıldır dinmeyen büyük acı! 
Beş yıl önce bir cani tarafından vahşice katledilen #ÖzgecanAslan kızımızı unutmadık, unutmayacağız! https://t.co/o29cXnqN6l",0
Asya'nın Volkanı aldatmasını destekleyen tweetleri okudukça hayrete düşüyorum.Aldatmak kadın erkek eşitliği değildir ve bir çözümde değildir. Ne yani Asya'nin başka çözüm yolu yok muydu?Onurunu koruyarak intikam alamazmıydı? #Sadakatsiz,0
"#diyanetkapatılsın her laik kemalist ibne değil belki fakat
 her laik lgbt net kemalistir.",2
suratına akıtma vidio tükçe şişman sekfilmi şişman lezbiyen gurup izle güzel kız fotolarıerotik yatak odasında öpüşme videoları https://t.co/1qJ1F4YvNW,1
"Şu uğraştığımız konulara bak amk. Bir ibne çıkar bir gün #LGBTİÇocuklarVardır der, bir gün bir totoş çıkar #LGBT #LGBTHaklariİnsanHaklarıdır der, biri çıkar #KürtçeyeSaygı der... Boktan boktan şeyleri boşuna TT yapmayın.",1
Yurtdışındaki gaylar (gey diye değil gay diye okuyun plz) böyle değiiiiiilllll,1
"94 yıl önce bugün, toplumsal hayatta, ailede, Kadın Erkek eşitliği konusunda atılan ilk ve önemli bir adım olan Medeni Kanunumuz kabul edildi. Türk kadını, haklarını her ortamda arama özgürlüğüne kavuştu.
Biz Kadınlar bu sayede yıllardır haklı mücadelemize devam ediyoruz. https://t.co/fLhBUKI8Ry",0
Bugün dünya gey günümü aq,1
"""Turing'e göre gelecekteki bilgisayarlar tıpkı 1950'lerdeki eşcinseller gibi olacaktı. Bilinçli olup olmamaları bir şey değiştirmeyecekti, önemli olan insanların bu konuda ne düşüneceğiydi.""",0
"Bu lanet 2020 nin son gününde, 2021 için hepinize sağlık, mutluluk, bol para, adalet, kadın cinayetleri olmayan, hayvanlara ve çocuklara tecavüz ve şiddetin bittiği, her branşta Fenerbahçenin şampiyon olduğu bir yıl diliyorum 💙💛💙💛",0
"Erdoğan bugün LGBT'ye laf etmiş, 4-5 sene evvel de Bozkurtlara laf etmişti. Yok fatiha bilmezler yok biz eşref-i mahlukatız onlar dört ayaklı falan... Sınav sorularını çaldılar dediği için Kılıçdaroğlu'na terörist sevici demişti, sınav soruları çalındığı ortaya çıktı, kandırıldık",0
Kadın Erkek fartketmez kalbi orospu olandan korkacaksın,1
"Biz hala LGBT yi tartışalım çünkü öldüren, tecavüz eden yakan onlar... Allah kahretsin",1
Lezbiyenler niye kendilerini dünyanın en coolları zannediyorlar aq,1
"Bu hafta ardı ardına olan HDP, gezi, Kadın hakları, Merkez bankası saldırıları ispatlıyor. Bu diktatöryanın yaptığının adı ne ülke yönetmek, ne intikam almak, ne başka bir şey, bu artık sadece bir amok koşusu.",0
"Bakınız.USA,Avrupa Birliği, SP(Müslüman)İYİ(ülkücü)HDP(terörist)CHP(?)Ataist,deist,Lezbiyen,ibne,Mimarlar odası(Boş insanlar)kemalist,Bütün terör örgütleri,PKK,YPG.FETÖ(AKP içinden cıkan hainler).=Recep Tayyip Erdoğan 
Hepsine bedel hepsi ile tek başına mücadele ediyor",2
Keşke lezbiyen olsaydım  da bu kadar çok üzülmeseydim aq senin,1
"Lgbt yi destekleyen herkes hepinize de teker teker yuh olsun, lanet olsun! #RasulullahaHakaretAffedilmez",2
Lgbt liler velevki ibnesiniz ama akıllı olun totoşlar sizi ibne oldgunuza pisman edrrim 😀 #diyanetkapatılsın,2
"Netflix yapımlarında neden sürekli Gay/Lezbiyen kişiler oluyor çözemedim.
Şirinmiș gibi gösterilmeye mi çalışılıyor yoksa farkındalık duyarı mı kasıyorlar?
Çok eșlilik ne kadar yanlıșa eșcinsel olmak o kadar yanlıș, daha doğrusu hormonal veya psikolojik hastalık.",1
"Bugün bir anne, yürümek istedi.18-19 yaşında MÜEBBET verilmiş,ÖĞRENCİ ÇOCUKLAR için.Bu çocukların masumiyetinde ŞÜPHE yok. Yürüyen,halktan sade bir kadın. Yanında sadece 1 tane milletvekili.Tek bir feminist, CHP’li, janjanlı solcu yok.Herşey bittiğinde sakın artistlik yapmasınlar",1
Bunun görselinde kadın erkek sarılmış olanı var. Orda bile sahiplenme  güdüm öne çıktı sadece kadına sıktım. Yalnız nasıl keyifli bayılıyorum atış yapmaya. https://t.co/60QvHse5wz,0
"O kadar samimiyetsizsiniz ki , kadın hakları diyerek meşrulaştırmaya çalıştığınız maddeleri istemiyoruz diye geber diyorsunuz ,sonra da derdinizin  gerçekten kadın hakları olduğuna inanmamızı istiyorsunuz komiksiniz",0
Bogaziçi üniversitesine atanan rektördü sorunları demi. İlk günden belliydi sorunun sadece rektör olmadığı;önce katil polis nidaları atıp pkk marşıyla halay çektiler şimdide kâbe resmini ayaklar altina aldılar.Benim inancıma saygı duymayan lgbt'ye saygı duymuyorum.,0
20 yaşında gencecik bir çocuk kandırılıp darp edilip öldürülüyor ve kimse sesini çıkarmıyor ölen kişi kadın olsaydı bu böyle olmazdı kadın erkek ayrıştırılmamalı diye ortalıkta dolanıyorsunuz ama en büyük ayrımcılığı siz yapıyorsunuz. #aresözdemir,1
El ele gezen lezbiyen hanımlar görmeye başladığıma göre Balıkesir şimdi gerçekten büyükşehir belediyesi oldu.,0
"#AcunMedya 
#AcunIlıcalı 
#SurvivorTürkiye 
#LGBT 'ye verdiğiniz desteğe bakın. Sizin gibiler yüzünden ne aile ahlâkı, nede toplumda düzen kaldı. Sözün bittiği yerdeyiz. Rabbim bunları Lût Kavmi gibi taşlaştırsın İnşaAllâh! 🤲🤲🤲 https://t.co/9GHbED3T1H",2
AA 'Amerika baş muhabiri' muhabirinin ayıbı: Tahminen Kavala eşcinsel ve Henri Barkey de erkek arkadaşıdır! https://t.co/s4KUAtjpFk https://t.co/F1gfHNPCKn,0
"Bir insan, yollarda taciz/tecavüz/şiddete uğrayabileceğini, ailesi tarafından reddedilebileceğini, mesleğini kaybedebileceğini, iş bulamayacağını, toplumdan dışlanabileceğini, öldürülebileceğini bile bile bu toplumda bir #LGBT birey olmayı tercih eder mi? Manyak mısınız acaba.",1
Paşalı arkadaşım bir grup (2) feminist tarafından taciz edilmiş ve çok korkmuş.,0
8 Mart'a Giderken Hazırlık Atölyeleri'nde 12 Şubat Çarşamba 19.00'da İstanbul Mor Mekan'da Feminist Özsavunma'yı konuşuyoruz.Özsavunma basitçe fiziksel savunma tekniği midir?Yoksa şiddetin köklerine inip ona müdahale etmemizi sağlayacak bir kavram mı? Hep birlikte konuşalım. https://t.co/GVP6gE0GAB,0
"İnsanların sevgilerini yargılamak sizin haddiniz değil ,ibne olarak adlandırmanız hiç hiç haddiniz değil. #LGBT",1
"Vatan haini oluruz 
Lgbt oluruz 
Dhkp mlkp oluruz 
Terörist oluruz  
Boğaziçi üniversiteli oluruz
Devrimci ataist satanist oluruz 
En zeki ve akıllı oluruz lakin
VATAN SEVDALISI VATAN AŞIĞI 
OLAMAYIZ 
 #Arkadaşlarımızıİstiyoruz
#SeymanınYanındayız 
#BogaziciDireniyor",0
"Pek normali kalmamış hatta beyni fosilleşmiş paranormallerden, ibneliği baştacı yapmak isteyen zihniyetten yeni normal beklemek maske mesafe temizlik beklemek???. Yani altını çizmek istediğim şu ibne ( lgbt ) ve savunucularından nasıl bi normal çıkar matematik bana açıklasın🤔",1
Bana kadın erkek eşittir demeyin erkekler kadınlardan herzaman bir adım öndedir erkek boşansa bekar kadın boşansa dul erkek başkasıyla yatarsa erkektir yapar kadın yatarsa orospu bana adaletten ve eşitlikten bahsetmeyin sakın...,1
Abi her insan toplum içerisinde düzgün davranmalı. Çocukların mağazada salak saçma bağırması ya da hareketlerini straight bi çocuk yapsaydı da gerizekalı denilirdi. Çünkü davranış gerizekalıca. Her laf edene homofobik diyosunuz. Eşcinsel diye insanlar eleştirilmeyecek mi?,1
Ey millet yeni olaylara hazır olun nedenmi şimdi diyecekler ki nasıl olsa berat ediyorlar misal geziciler bu projenin ön adımı hazır olun gene karıştıracaklar ülkeyi bahane kriz eyt intihar kadın cinayetleri vs hazır olun .#gezidarbesi,2
Diyanet bugün escinsel ilişki haram değil desin yarın o özlendiğiniz yaşlı çiftlerden 1 tane kalmaz. Akıllı olun mk.,1
"Ülkemiz asıl sorunlar yerine salakça şeyler hakkında konuşuyor. Asıl konuşulması gereken konular kadın cinayetleri, çocuk istismarı, hayvanlara yönelik şiddet, taciz veya tecavüz; LGBT+, Twitter veya YouTube değil!
#SosyalMedyamaDokunma",1
Bu eril duzen ve zihniyet bitmedikce kadin cinayetleri de bitmez. Konca Kuriş'ten bu gune katil hep ayni #AylinSözer,0
Feminist biriyim elimden geldiğince Hatta fazlasıyla mesafeli ve saygılı bir adam olmaya dikkat ediyorum ama hanımlar bazılarınız çok aptal özür dilerim ama öyle ....(Tivit bu kadar ),1
"*Kadın- erkek eşit değildir.
*İşsizliğin nedeni kadınlardır.
*Yalnız bırakılan ya davulcuya, ya zurnacıya
*Evdeki işler yetmiyor mu?
*Kadın evinin süsüdür.
*Kadının fıtratında erkeğe köle olmak var.
*Kahkaha atan kadın iffetsizdir...
Tek sorumlu katil mi?
#ŞeymaYıldız",1
"Genel başkanınız yasak ilişki kasetiyle ortaya çıkar kadını eşi boşamaz kadın hakları edebiyatını siz yaparsınız 
Belediye başkanlarınız taciz ve istismardan yargılanır edebiyatını siz yaparsınız 
Ulan bırakında uyuşturucu madde edebiyatını da biz yapalım demi",0
Memleketler parasızlıktan değil ahlaksızlıktan çöker #çiçero# şimdi buna göre LGBT’yi alkolizmi fuhşiyatı tefeciliği isteyen destekleyen ibneler bu devletin batmasını istiyor orospu evlatları...💪💪🇹🇷🇹🇷,1
"Türkiye Muaythai Federasyonu’nun 2020 yılı faaliyet programında yer alan Türkiye Muaythai Büyükler ve Ümitler Kadın-Erkek Türkiye Şampiyonası, dün açılış seremonisi ve ilk gün maçları Nevşehir’in Kozaklı ilçesinde başladı. https://t.co/sySIfdaDzs",0
"""...aile hayatı, kadın-erkek mabeyninde mütekabil hürmet ve muhabbetle devam eder...""

(Sözler https://t.co/YjUE4V1a1g - Risale-i Nur)",0
8 mart öncesi yeni feminist anthem'im piyasalarda. https://t.co/TBS38QyoBY,0
Artık o kadar  netim ki kadın hakları tecavüz kadına şiddet sikimde değil yolda görswm yolumu değiştiririm hepiniz bir yerde şekilci hepiniz bir yerde meteryalistsiniz. Yavuz Çetin dediği gibi yaşamak istemem artık aranızda,1
Gökkuşağı koyanlar neden gökkuşağı nedir bu Lgbt sevdası?,0
dunyanin en iyi lezbiyen seks sahnesinden sonra hetero sahne koymuslar zorla katil edecekler beni,2
"Selami Saygın yazdı;
""Kadın hakları nasıl gelişti?""
KAdın hakları ve tarihi gelişim süreci üzerine bir değerlendirme...
@sayginselami #haberajandanet #kadınhakları #lozan #CHP #kadın
https://t.co/bExyxtgmBx https://t.co/vO2Y23ZFuD",0
Bazı arkadaşlarımın eşcinsel olduğundan şüpheleniyorum davranışlar hiç normal değil çünkü,1
"Ana haberlerde her akşam bangır bangır kadınlar öldürülüyor diye yaygara yapmazsınız artık.
Genç bir adam, bir kadın cinayeti daha olmasın diye hayatını yaktı.
Adamın 19 sabıkası var diye karalanmaz diyorlar birde.
İnsan beşer şaşar ama 19 kez olmamalı.
Kadir Şeker",1
Ben asla burda ibne top travesti puşt kelimelerini kullanmadim asla kullanmam gercek hatta da hayir siz nasil dusunmuyorsunuz bunlari kullanirken insanlarin me dusunecegini bu kelimeleri kullanan da agir homofobiktir kullanmayin artik ya bu ne,1
"ya allah aşkına, birlik olacak güç mü bıraktılar, ülkede ekonomik sıkıntıdan dolayı intihar edeni mi dersin, idlib'de şehit düşeni mi dersin, taciz tecavüz mü dersin, kadın cinayetleri mi dersin, uyuşturucu mu dersin... biz hangi birine yetişelim lan? #sehitlerimizvar",1
"Maksatlari ne çocuk ne kadin ne aile.
Maksatlari sadece yaralamak,yikmak ve yok etmek.
Neymis ailenin ve kadina şiddete  karsiyiz.
Ey cahil kardeslerim kadın cinayetleri ne zaman artmis.
Lgbt olayi ne zaman çoğalmış. 
Chp tecavuzleri ve taciz olaylari ?
#istanbulsozlesmesi",0
LGBT İçeriğe Sahip Hasılat Rekoru Kırmış 10 Film https://t.co/i7KoRTkLlK @gmagcomtrr aracılığıyla,0
"Bu ülkede kadınlar öldürülüyor!
Bu ülkede çocuklara tecavüz ediliyor!
Bu ülkede hayvan katlediliyor!
Bu ülkede ağaçlar imar izni için yakılıyor, ormanlar küle dönüyor!
Ama eşcinseller kadar hiçbiri ahlakımızı bozmadı değil mi? 
#sayınhomofobik",1
"--Belediye parasını şarap dağıtıp açız yaftası atanlara..
--Vatan sever görünüp pkk lılarla gezenlere..
--Tecavüz, taciz edip kadın hakları koruyanlara

Oy moy yok",2
"HDP’li vekil Tuma Çelik’in tecavüz skandalı karşısında utanç veren bir tepkisizlik hakim. Kendilerini kadın hakları savunucusu gösteren partilerinin önde gelen isimleri, ne de kadın örgütleri, STK’lar ve barolar HDP’li vekile karşı tek kelime dahi etmedi https://t.co/SLqjjqUdwz",1
"Be herif, senin elinde olsa ne okutacaksın hutbede. LGBT’ye destek açıklaması mı yaptıracaktın. 
Taciz, tecavüz, zina günah değil mi dedirtecektin. 
Domuz eti, rakı, şarap helal mi dedirticen. 
Sana ne diyanetin hutbesinden. 
https://t.co/nLfYnaKqYB",1
"Kelimeler boğazımda düğümleniyor. Diyecek sözüm bitti artık, ama kadın cinayetleri hala bitmiyor. Ne hakkınız var buna? Lanet olsun artık binlerce kez lanet olsun... #AylinSözer",2
#GençEvlilereMüjde arkadaş bu etiketi millet götüyle mi okuyor bu çocuk evliliği değil genç evliliği evde kalmış bayanlar ve onlara  destek olan feminist erkekler saldırıyor,1
"Bunun lgbt ile alaksi ne Allah aşkına? Kullandığınız tek dil nefret dili, ayrıştırma dili. Ya sizdeniz ya da terörist sapkınız. https://t.co/vptPry2pSy",0
"Ben artık mor halkalılar ve kadın hakları savunucuları bir taciz olayini dile getiriyorsa ondan çıkarı var demektir
Bundan sonra onların anlattığı dile getirdigi hiç bir taciz olayini ciddiye bile almıyorum
Bunun nedeni CHP'de ortaya çıkan tecavüz-taciz olaylarında susmalari",0
"Ötzi:
Cinayet
Lgbt
İklim değişikliği
Kötü,vahşi insanoğlu 
propagandası.",1
Uyuşturucu içirip tecavüz ve gurup ilişki seçim otobüsünde travesti ile yakalanma çocuk istismarcısı gazeteci ! Sapık diye sundukları Şeyhlerinden beter durumdalar ...,2
"Düşünüyorum da Chp zehir zemberek açıklama yapıp istifa eden üç vekili taciz ve tecavüz olaylarını gündeme getirmemek için Boğaziçi LGBT güruhunun peşine takılıp savruluyor , peki işe yarıyor mu? Tabi ki Hayır 
CHP de Taciz ve Tecavüz'de kaçıncı gün oldu ?
#CHPdeTecavüzVar",0
"Sorsanız burdaki herkes kadın hakları savunucusu,kadın cinayetlerine karşı.Göstermelik birkaç tweetle kiniyorlar kadınlara yapılan şiddeti.Lakin sizler bakışlarınızla,saygısızlıklarinizla,hadsizliklerinizle,çirkin sözleriniz,taciz edici davranışlarınız ile hergün ....",1
"Günaydın 💐15 Şubat Cumartesi 
@teve2Official ekranlarında 11.15’te sevgili @rabialacin4 in konuğuz. #sevgililergünü ertesinde #kadın #erkek #ilişkiler #evlilik konuşuyoruz. Aslında her birimizin farklı algılamaları,… https://t.co/AM8QG9p7kC",0
"Hayırlı sabahlar; 

İmamoğlu seni bir köşeye yazdı bu millet..

Ellerinde lgbt bayrakları ile pkk marşı söyleyerek halay çeken ve bunla da yetinmeyip katil polis üniversiteden defol sloganları atanları destekledin. 

Bu millet unutmaz! 
#Polisiminyanindayim 🇹🇷",0
amını yalatıp boşalan kadın bedava resimli lezbiyen adresleri japan sınırsız porn hemşire pono video türkamator amı sikmek https://t.co/DeqNWIoV4n,1
Bu olay karşısında kadın hakları savunucuları kuluçkaya mı yattınız Meltem Şişli,0
"Taciz/tecavüz chp için gayet normal,  kadın hakları falan filan... https://t.co/pKgrTiK61Q",1
Rüyamda bursada bir yer açılmıştı ve orada yönelimini anlaman için kan vermeye gidiyordun işte o sırada iki kız lezbiyen olduklarını falan görmüştü orada sonra sevgili olmuşlardı hayal dünyam rengarenk dkdkdkd,0
"İki gün önce HDP li milletvekilinin ortaya çıkmış bir sürü pisliğine ses çıkartamayan provokatörler 
şimdi sokak köpeği gibi sokaklarda kadın hakları savunuculuğuna soyundu
Şimdi sormazlar mı hanginizin açtığı
pankartın ürünü bu katil diye?
#pınargueltekin
#HDPdetecavüz https://t.co/McEzURW20q",1
Lafa geldimi herkes ben ic güzellige bakarım. Dıs görünüs benim icin önemli degil diyen insanlar konu lgbt oldumu bu igrenclik diye ortada dolanıyorlar. Sizin bu yaptıgınız ne peki?! Insanlara saygî göstermeyi ögrenin artık. Bir insanın sevgiden nefret etmesi acizlik. #LGBT,0
"Bu zamanda herkes İslamiyet'i bırakıyor, kimi pantolon giyiyor, kimi dar giyiyor. Kimi kadın-erkek beraber bulunuyor. Kimi şarkı, türkü, televizyon v.s dinliyor. Bunların hepsi Resulallah aleyhisselatu vesselam'ın yolundan ayrılmaktır.

Mahmut Efendi Hazretleri",0
Gerizekalı turnusolu=bioda vegan yazısı+lgbt bayrağı.,1
"Tecavüz olayları çıkınca Ensar Vakfı kapatılsın diye ortalığı velveleye veren sözde kadın hakları savunucuları!
CHP'de 3 tecavüz olayıyla gündem olurken aynı şeyi bu parti için de söylüyor mu¿
Hiç zannetmiyorum.
#CHPdeZincirlemeTaciz #CHPdeCinselSaldırı #ChpdeTecavüz",0
kedi köpek çoluk çocuk cinsiyet fark etmeksizin tecavüz et annenin diz kapağın dan tahrik ol karımı Erdoğan'la paylaşırım de lgbt'liler sapkın olsun siktir oradan. #LCWaikikiBoykot,1
"SANDIKTA GÖRÜŞECEĞİZ diyenler çoğaldı!

Emeklilikte yaşa takılanlar sandıkta takacakmış..
Sırada emekli, öğrenci, işçi, esnaf, köylü,çiftçi, akademisyen, öğretmen, gazeteci, doktor, hasta........ #Varoğluvar

#manisadeprem
#China
#LGBT
#istanbuldeprem
#DefneJoyFoster
#biletdevir",0
"CHP LGBT yi siyasallastırp
Milli yapma peşindemi, milletvekillerini buraya kiraya verip gurupmu kurduracak.
Seçim malzemesi olarak mı kullanacak.
Bu  ibne meraklısı olmak 
Nereden geliyor acaba?",1
"Terörist, Tecavüzcü, şantaşci,
Her evden bir oy deyip meclise soktunuz.
Anlı, şanlı çağdaş kadın hakları savunucuları nerdesiniz? Sesiniz soluğunuz çıkmıyor.
Yazklar olsun, iki oy gelecek diye bütün bu kirlilığe şaşı baktınız.",1
"Toplumca; kadına şiddet dedik, kadın hakları dedik ayrıştırdık. Yalnızca ŞİDDET ve İNSAN HAKLARI demeyi öğrenemedik #öpüşmek",0
"#welcome ✟
   
  West Whein aramıza katılmıştır.

  ༄ 29
  ༄ANONYMOUS
  ༄ Katil 
  ༄ biseksüel
 
 ༄ @azizitao

༄ https://t.co/5DUtx8LDDg",0
"Son 30 günde 27 kadın cinayeti işlendi.Konumuz hâlâ netflix,lgbt vb mi?Mecliste sosyal medya,netflix,lgbt tartışmak yerine bu cinayetlere tecavüz tacizlere bir dur diyin. #pinargultekin #pinargultekinicinadalet #istanbulsozlesmesiyasatir #KadınCinayetleriPolitiktir",0
"#Alef (spoiler içerir)

Ahmet Mümtaz (Settar) zorlama diyalogları ile diziyi piç etse de 

Yakılan mevlevilerle cinayet ilişkisi derinleştirilememiş,kısaca aşığının intikamını alan bi eşcinsel desen sırıtmaz

Settarsız 2. Sezon güzel olacaktır",1
"Chpkk başkanı Kılıçdaroğlu nun Pedofili sapkını Bıden i tebrik etmesi, eş başkanı terörist Kaftancıoğlunun Boğaziçi üni de rektörü bahane edip terörist lerle eylem yapması,mevzunun lgbt eliyle Kabemize saldırıya varması Gösteriyor ki Hedefleri İslamsız Türkiye 
#LGBTyeGeçitYok",1
"Chp de bu tecavüzcü lere tecavüz edecek kudret
Damarlarınızda yatan 
Lgbt de mevcuttur",2
Artık bu ülkede yaşamaya takatim kalmadı cidden. Adam günün en kalabalık saatinde arabasıyla yolu kesip taciz ediyor ve bir kişi de dönüp tek bir kelime etmiyor. Dönüp bir küfür savurduğunda hemcinslerin seni cıkcıklıyor. Bunların kafasını böcek gibi ezicen kadın erkek ayırmadan,2
"Şimdi kadın derler ve üste çıkarırlar.Polis taciz etti derler,polis katil derler.Yeri geldiğinde Kadın erkek eşit derler sonrasında erkek polisin kadına müdahale etme hakkı yok derler.kısacası çok konuşurlar boş konuşurlar çoğu şeyi gözardı ederler #PolisiminYanındayım https://t.co/RXzK0PNdee",1
"📌Hukuk önünde ""kadın-erkek eşitliği""ni sağlayan #MedeniKanun’un kabul edilişinin 94’üncü yılını kutluyorum.
📌Büyük devrimlerin öncüsü, Cumhuriyetimizin kurucusu Ulu Önder Gazi Mustafa Kemal Atatürk’ü saygı, özlem ve minnetle anıyorum. https://t.co/tToNkNZD9H",0
Bugün hemen şimdi seferberlik ilan edilse abdest alıp şehadete hazır olan kadın erkek 80 milyon kişilik bir orduya sen zafer nasip eyle Allah'ım sefer bizden takdir sendendir  #ZalimlerİçinYaşasınCehennem #TekbirleZafere,2
"Yaa ama onlar kanka yaa ☹️

Kadın-Erkek arasındaki kanka ve yakın arkadaşlık masalları kadınların, erkeklerin ilgisini sömürmek için kullandığı bir araçtır. Aptal olmayın ve kendinizi kadınlara kullandırtmayın. Zen izdiyor ilgi, vereceg boops, lips, pussy. https://t.co/WPzS9un9dR",0
LGBT sapkınlarına sahip çıkarken partinizin kadınlarının maruz kaldığı taciz tecavüzlerde haklarını vermek bir yana adlarını yolluya çıkarmanıza #İtirazEdeceğiz,1
"Dinleyin ilginizi çekebilir....
Kadın - Erkek İlişkilerinde Sınırlarımız | Nureddin Yıldız
.
https://t.co/WcGBuMTfpr",0
İsviçre'de 'homofobi referandumu': Cinsel ayrımcılığı suç sayan yasaya yüzde 62 destek https://t.co/BhWYIuPYTZ,0
"Boğaziçi'deji LGBT terör örgütü militanları göz altına alınmış. Bunlar, silah kullanmadan terörizmi performe eden çok tehlikeli bir örgüt. 

 #BogaziciLgbtRezaleti",1
"Ben şoookkk😶😱
Mabel Matiz’i, LGBT savunucusu (ibne) olduğunu öğreneli 10 dk. oldu
Ama ben şarkılarını, yorumunu ve sesini çok beğeniyorum.
Neyse, ibne olduğunu unutaraktan sevmeye ve dinlemeye devam edicem sanırım
#mabelmatiz #oesym2020 #pazar #ayt2020 #ÇaycıHüseyin #Guendem",1
"Denizli’de internetten yemek siparişi veren üniversite öğrencisi, kuryenin mesajla kendisini taciz ettiğini iddia etti. Kurye siparişin üzerinden 3 saat geçtikten sonra öğrencinin cep telefonuna “Selam, sen gey misin?” şeklinde mesaj attı. https://t.co/IXOSbfgaj5",0
"İngiliz stand-up komedyeni Deborah Frances-White’ın “Guilty Feminist” adlı podcasti, #feminist kadınların yaşadığı çelişkileri ve bunun üzerinden daha iyi bir feminist olmanın yollarını masaya yatırıyor
👇
https://t.co/rNDBuSKKbd",0
"Boğaziçi Üniversitesindeki rektör eylemi nasıl bir alaka ise iş Lgbt 'ye geldi. Kutsal Kâbe'mize saygısızlık yapıldı.

Cici çocuklar duruşu yaparak terörist marşları çalındı. Yalan haberlerle toplum manipüle edildi.  
Peki ne oldu da birden sokaklar hareketlenme oldu!?",0
"Kuzeyin intikamını al...

Game of Thrones

https://t.co/xeBvAg2yj9

#İndirim #Kampanya #cumartesi #aslienver #flörtümyok #BarışManço #Kadın #erkek #güzellik #bakım",0
Gezi benim aklıma apo posterleri lgbt propagandası faşizme karşı omuz omuza gibi sol siyasi propagandadan yakılıp yıkılan esnaf dükkanlarından başka bir durum ile gelmiyor bu halde savunacak bir durum göremiyorum. Birilerine tokadı sandıkta vuracak siyasetiniz de yok ne yazıkki.,1
Türk toplumunun kafa yapısı; Türk dizilerinin tecavüz şiddet cinayet sahnelerini normalleştirelim her gün aldığımız kadın cinayetlerine alışalım çocuklara toplu tecavüz edilsin hayvanlar öldürülsün adalet diye bi şey olmasın ama LGBT’yi kınayalım çünkü iki insan birbirini sevemez,0
